,t1_phon,t2_phon,phon,t1_gloss,t2_gloss,gloss,t1_orth,t2_orth,orth,t1_trans,t2_trans,trans
1,4.561791832414338,5.130022963935725,ácàaarɔ̀ ,4.561791832414338,5.130022963935725,Acaar,4.561791832414338,8.019766085801976,"Acaarɔ paa yaa Deng, ba pac me dwøng o ba pac me døøj.",4.561791832414338,8.019766085801976,"Acaar, the village of Deng, is a big village and a good village. "
2,5.130022963935725,5.335281891457929,pǎaa,5.130022963935725,5.335281891457929,village:POSD.PL,4.561791832414338,8.019766085801976,"Acaarɔ paa yaa Deng, ba pac me dwøng o ba pac me døøj.",4.561791832414338,8.019766085801976,"Acaar, the village of Deng, is a big village and a good village. "
3,5.335281891457929,5.520482943326498,jấā,5.335281891457929,5.520482943326498,people:CS,4.561791832414338,8.019766085801976,"Acaarɔ paa yaa Deng, ba pac me dwøng o ba pac me døøj.",4.561791832414338,8.019766085801976,"Acaar, the village of Deng, is a big village and a good village. "
4,5.520482943326498,6.042056980486039,dɛ̌ɛɛŋ,5.520482943326498,6.042056980486039,Deng:ASSOC,4.561791832414338,8.019766085801976,"Acaarɔ paa yaa Deng, ba pac me dwøng o ba pac me døøj.",4.561791832414338,8.019766085801976,"Acaar, the village of Deng, is a big village and a good village. "
5,6.042056980486039,6.223871280200925,bǎa,6.042056980486039,6.223871280200925,NPRED,4.561791832414338,8.019766085801976,"Acaarɔ paa yaa Deng, ba pac me dwøng o ba pac me døøj.",4.561791832414338,8.019766085801976,"Acaar, the village of Deng, is a big village and a good village. "
6,6.223871280200925,6.448523687625016,pâac,6.223871280200925,6.448523687625016,village,4.561791832414338,8.019766085801976,"Acaarɔ paa yaa Deng, ba pac me dwøng o ba pac me døøj.",4.561791832414338,8.019766085801976,"Acaar, the village of Deng, is a big village and a good village. "
7,6.448523687625016,6.85501504680178,mɛ́-dwɔ̂́ɔŋ,6.448523687625016,6.85501504680178,ATTR:SG-big,4.561791832414338,8.019766085801976,"Acaarɔ paa yaa Deng, ba pac me dwøng o ba pac me døøj.",4.561791832414338,8.019766085801976,"Acaar, the village of Deng, is a big village and a good village. "
8,6.85501504680178,6.91664645670075,ʊ̀,6.85501504680178,6.91664645670075,CONJ,4.561791832414338,8.019766085801976,"Acaarɔ paa yaa Deng, ba pac me dwøng o ba pac me døøj.",4.561791832414338,8.019766085801976,"Acaar, the village of Deng, is a big village and a good village. "
9,6.91664645670075,7.08592183919392,bǎa,6.91664645670075,7.08592183919392,NPRED,4.561791832414338,8.019766085801976,"Acaarɔ paa yaa Deng, ba pac me dwøng o ba pac me døøj.",4.561791832414338,8.019766085801976,"Acaar, the village of Deng, is a big village and a good village. "
10,7.08592183919392,7.295948702657668,pâac,7.08592183919392,7.295948702657668,village:SG,4.561791832414338,8.019766085801976,"Acaarɔ paa yaa Deng, ba pac me dwøng o ba pac me døøj.",4.561791832414338,8.019766085801976,"Acaar, the village of Deng, is a big village and a good village. "
11,7.295948702657668,8.019766085801976,mɛ́-dɔ́ɔɔc̀,7.295948702657668,8.019766085801976,ATTR:SG-good:CTG,4.561791832414338,8.019766085801976,"Acaarɔ paa yaa Deng, ba pac me dwøng o ba pac me døøj.",4.561791832414338,8.019766085801976,"Acaar, the village of Deng, is a big village and a good village. "
13,9.405544562507686,9.496660863892094,ʊ̀,9.405544562507686,9.496660863892094,CONJ,9.405544562507686,12.84790158198445,"O men-a Deng kiree, ba jal yab ki gï käyø",9.405544562507686,12.84790158198445,"And Deng himself, is a man who knows how to look for fish/meat."
14,9.496660863892094,9.779571354527132,mɛ́n-āa,9.496660863892094,9.779571354527132,DEMPRON-RELCOP,9.405544562507686,12.84790158198445,"O men-a Deng kiree, ba jal yab ki gï käyø",9.405544562507686,12.84790158198445,"And Deng himself, is a man who knows how to look for fish/meat."
15,9.779571354527132,10.145991568301424,dɛ̄ɛŋ,9.779571354527132,10.145991568301424,Deng,9.405544562507686,12.84790158198445,"O men-a Deng kiree, ba jal yab ki gï käyø",9.405544562507686,12.84790158198445,"And Deng himself, is a man who knows how to look for fish/meat."
